sex,cabin,CabinReduce,sex_map,cabin_map,CabinReduce_map
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,G6,G,1,36,7
male,E12,E,0,43,6
male,C104,C,0,167,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,B57 B59 B63 B66,B,1,10,5
male,0,n,0,0,8
female,0,n,1,0,8
male,A31,A,0,60,0
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B96 B98,B,1,139,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,B18,B,1,48,5
female,F33,F,1,109,2
male,C124,C,0,171,3
female,D11,D,1,119,1
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,D48,D,0,53,1
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,D10 D12,D,1,3,1
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,D30,D,1,145,1
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,B38,B,0,34,5
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,D45,D,0,117,1
male,0,n,0,0,8
female,0,n,1,0,8
female,D15,D,1,38,1
male,0,n,0,0,8
female,C50,C,1,35,3
female,0,n,1,0,8
male,0,n,0,0,8
male,C31,C,0,56,3
female,0,n,1,0,8
male,0,n,0,0,8
male,E24,E,0,27,6
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B82 B84,B,0,77,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,C85,C,1,134,3
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C22 C26,C,0,125,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,A32,A,0,184,0
male,C53,C,0,50,3
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B78,B,0,76,5
male,0,n,0,0,8
female,0,n,1,0,8
male,B10,B,0,89,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C70,C,0,73,3
male,A23,A,0,26,0
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,B41,B,1,40,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C106,C,0,155,3
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,D37,D,0,115,1
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,C46,C,1,14,3
female,B20,B,1,17,5
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,E58,E,0,55,6
male,D,D,0,23,1
male,D10 D12,D,0,3,1
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B11,B,0,91,5
female,0,n,1,0,8
male,0,n,0,0,8
female,C101,C,1,123,3
male,0,n,0,0,8
male,0,n,0,0,8
female,C31,C,1,56,3
female,0,n,1,0,8
female,B49,B,1,86,5
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,E25,E,0,156,6
female,F E69,F,1,97,2
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B80,B,1,54,5
male,C80,C,0,93,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,C52,C,0,135,3
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,C2,C,1,75,3
female,0,n,1,0,8
female,0,n,1,0,8
female,E39 E41,E,1,141,6
female,F4,F,1,186,2
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,D22,D,0,7,1
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,C106,C,0,155,3
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,B51 B53 B55,B,0,69,5
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,E40,E,1,21,6
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,F G73,F,0,133,2
male,0,n,0,0,8
female,0,n,1,0,8
male,A19,A,0,166,0
female,C32,C,1,72,3
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,D,D,1,23,1
female,D,D,1,23,1
female,B79,B,1,42,5
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,C62 C64,C,0,179,3
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,E8,E,0,138,6
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,C32,C,1,72,3
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,D28,D,1,116,1
male,0,n,0,0,8
female,C45,C,1,181,3
male,0,n,0,0,8
male,C46,C,0,14,3
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
male,0,n,0,0,8
male,0,n,0,0,8
female,B22,B,1,120,5
male,0,n,0,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,0,n,0,0,8
female,0,n,1,0,8
male,B57 B59 B63 B66,B,0,10,5
male,0,n,0,0,8
female,0,n,1,0,8
female,0,n,1,0,8
female,C23 C25 C27,C,1,151,3
male,0,n,0,0,8
male,B57 B59 B63 B66,B,0,10,5
female,0,n,1,0,8
female,E44,E,1,126,6
female,0,n,1,0,8
female,0,n,1,0,8
male,B45,B,0,180,5
male,0,n,0,0,8
male,0,n,0,0,8
female,B39,B,1,78,5
female,0,n,1,0,8
male,0,n,0,0,8
